activity_nr,estab_name,site_city,site_state,site_zip,naics_code,trade,open_date
348979634,NYSDOT REGION 8 SPRAIN BROOK,MOUNT VERNON,NY,10552,237310,Highway/Bridge,2026-06-05
348979741,MGR RESTORATION INC,NEW YORK,NY,10038,238990,,2026-06-05
348978701,CNB CONTRACTING CORP.,BRONX,NY,10474,238910,,2026-06-05
348977141,MG CONSTRUCTION INC,ORANGE,NJ,07050,238110,,2026-06-04
348978768,"BROCKWELL & CARRINGTON CONTRACTORS, INC.",KEARNY,NJ,07032,236220,Commercial Bldg,2026-06-04
348978842,GOLDEN TIME CONTRACTING I,FLUSHING,NY,11368,238910,,2026-06-04
348978891,JJJ CONCRETE CORP.,KEARNY,NJ,07032,238120,,2026-06-04
348978230,IMPERIAL CONSTRUCTION OF NJ LLC,CLIFTON,NJ,07013,238160,Roofing,2026-06-04
348978354,VICTORY HOME REMODELING,CLIFTON,NJ,07013,238160,Roofing,2026-06-04
348972647,"H. DOHERTY, INC.",NEW PROVIDNCE,NJ,07974,238160,Roofing,2026-06-03
348975798,MJ AND SONS CONSTRUCTION CORP.,LODI,NJ,07644,238160,Roofing,2026-06-03
348972738,UNISTOM CORP,WOOD RIDGE,NJ,07075,238140,Masonry,2026-06-02
348970625,NYC LIBERTY CONSTRUCTION CORP,BROOKLYN,NY,11219,238140,Masonry,2026-06-02
348970658,EMPIRE CITY CONSTRUCTION SERVICES LLC,BROOKLYN,NY,11219,238140,Masonry,2026-06-02
348969650,UGB CONSTRUCTION INC.,BROOKLYN,NY,11211,236116,,2026-06-02
348969718,TLAXCALA SCRAP REMOVAL,BROOKLYN,NY,11211,238990,,2026-06-02
348975715,METRO PAVING LLC,WANTAGH,NY,11793,237310,Highway/Bridge,2026-06-02
348973793,JG BUILDERS LLC,WOOD RIDGE,NJ,07075,236115,,2026-06-02
348972068,THE REDLINE GROUP INC.,MAHWAH,NJ,07430,238130,Framing,2026-06-01
348972126,"POLLUX ENTERPRISES, INC.",MAHWAH,NJ,07430,238170,,2026-06-01
348969759,PC SIDING & ROOFING LLC,PARAMUS,NJ,07652,238160,Roofing,2026-06-01
348969817,PACO'S CONSTRUCTION CORP,PARAMUS,NJ,07652,238130,Framing,2026-06-01
348975657,ARTHUR EDWARDS INC,MAHWAH,NJ,07430,236116,,2026-06-01
348975749,CEJ FRAMING & CONSTRUCTION LLC,HO HO KUS,NJ,07423,238130,Framing,2026-06-01
348975350,THE ACCENT GROUP,MAHWAH,NJ,07430,236115,,2026-06-01
348975491,KL & J CONTRACTOR LLC,MAHWAH,NJ,07430,238160,Roofing,2026-06-01
348973041,CAMBRIDGE HEIGHTS,NUTLEY,NJ,07110,236118,,2026-06-01
348973272,COZZARELLI CONSTRUCTION,BELLEVILLE,NJ,07109,238130,Framing,2026-06-01
348973298,ALLIED FRIENDS CONSTRUCTION LLC,BELLEVILLE,NJ,07109,238350,,2026-06-01
348970682,PIONEER CONSTRUCTION,BROOKLYN,NY,11228,238140,Masonry,2026-05-29
348964727,JUST RIGHT CARPENTRY AND PAINTING,WATER MILL,NY,11976,238320,,2026-05-29
348964909,AJG GENERAL CONSTRUCTION LLC,PATERSON,NJ,07501,238160,Roofing,2026-05-29
348965302,KING HOIST & SCAFFOLD INC.,NEW YORK,NY,10011,238990,,2026-05-28
348965377,J.T. MAGEN & COMPANY INC.,NEW YORK,NY,10011,236220,Commercial Bldg,2026-05-28
348964545,"M. LAIETA CONTRACTING, INC.",BRIDGEHAMPTON,NY,11932,236220,Commercial Bldg,2026-05-28
348964560,M MARIN RESTORATION INC,BRIDGEHAMPTON,NY,11932,236117,,2026-05-28
348962135,J&E SERVICES,BRONX,NY,10458,238140,Masonry,2026-05-28
348960998,R & S PRIME PROPERTY LLC,WASHINGTON TWPS,NJ,07676,236116,,2026-05-27
348961038,URIZAR AND SON FRAMING CORP,WASHINGTON TWPS,NJ,07676,238130,Framing,2026-05-27
348961533,F C AMERICA FRAMING LLC,GARFIELD,NJ,07026,238130,Framing,2026-05-27
348958828,UNLIMITED CARPENTRY CORP.,OSSINING,NY,10562,238130,Framing,2026-05-27
348958893,"NEW YORK STUCCO & GENERAL CONSTRUCTION, LLC.",OSSINING,NY,10562,238140,Masonry,2026-05-27
348958380,"THE VERDI CONSTRUCTION COMPANY, LLC",OSSINING,NY,10562,236220,Commercial Bldg,2026-05-27
348958539,JFC GENERAL CONSTRUCTION CORPORATION,GARFIELD,NJ,07026,238320,,2026-05-27
348967654,TOWNSHIP OF WOODBRIDGE DEPARTMENT OF PUBLIC WORKS - SEWAGE DIVISION,SEWAREN,NJ,07077,237310,Highway/Bridge,2026-05-27
348996075,BEGONJA RENOVATIONS INC,WHITE PLAINS,NY,10605,238170,,2026-05-27
348960931,WINTRAC LLC,RAMSEY,NJ,07446,238140,Masonry,2026-05-26
348961194,"BROOKLYN SKY CONSTRUCTION, INC",BROOKLYN,NY,11211,238120,,2026-05-26
348960634,MANDI CONSTRUCTION CORP,WASHINGTON TWPS,NJ,07676,238130,Framing,2026-05-26
348960782,RELATED BUILDERS CORP,WASHINGTON TWPS,NJ,07676,236116,,2026-05-26
348956988,PAUL MASTER CONTRACTOR LLC,RUTHERFORD,NJ,07070,238170,,2026-05-26
348969593,UNKNOWN/INVALID ESTABLISHMENT,OSSINING,NY,10562,238140,Masonry,2026-05-26
348956616,AMG-ENVIRONMENTAL RESTORATION,BRONX,NY,10466,236220,Commercial Bldg,2026-05-26
348963935,VILLAGE PLUMBING & HEATING NY INC.,BROOKLYN,NY,11211,238220,,2026-05-26
348682386,JIVCAEL TOWER CONSTRUCTION LLC.,TUXEDO PARK,NY,10987,238110,,2026-05-22
348957739,LO PERFECT CONTRACTOR LLC,RINGOES,NJ,08551,238160,Roofing,2026-05-22
348956244,XIAO YUAN LI,STATEN ISLAND,NY,10303,238320,,2026-05-22
348953126,FC AMERICAN FRAMING LLC,GARFIELD,NJ,07026,238130,Framing,2026-05-22
348951492,DIAN CONCRETE GROUP LLC,TARRYTOWN,NY,10591,238110,,2026-05-21
348952508,A PLUS PAINTING  AND DESIGN INC,PARSIPPANY,NJ,07054,238320,,2026-05-21
348949868,CENTRAL JERSEY DRIVEWAYS,HILLSBOROUGH,NJ,08844,238140,Masonry,2026-05-20
348978180,OASIS PAINTING & HOME IMPROVEMENT CO.,LYNDHURST,NJ,07071,238320,,2026-05-20
348952656,MANNYS CREW LLC,MAHWAH,NJ,07430,238990,,2026-05-20
348948415,J T CONSTRUCTION SERVICES LLC,HASBROUCK HEIGHTS,NJ,07604,238160,Roofing,2026-05-20
348948464,SPRING HOME IMPROVEMENT LLC,RUTHERFORD,NJ,07070,238160,Roofing,2026-05-20
348992504,MELENDEZ ELECTRIC LLC,WHITE PLAINS,NY,10606,238210,,2026-05-19
348947821,WALTER G. KOSENSKI II INC. & SONS,SEASIDE HEIGHTS,NJ,08751,238130,Framing,2026-05-19
348947946,TMC GENERAL CONTRACTOR LLC,SEASIDE HEIGHTS,NJ,08751,238130,Framing,2026-05-19
348947029,A & E CONTRACTOR LLC,SEASIDE HEIGHTS,NJ,08751,238160,Roofing,2026-05-19
348947144,CR3 AMERICAN EXTERIORS OF TOMS RIVER,SEASIDE HEIGHTS,NJ,08751,238160,Roofing,2026-05-19
348947243,DA ROCHA RENOVATION LLC,SEASIDE HEIGHTS,NJ,08751,238130,Framing,2026-05-19
348967951,GM GLENN LLC,SEASIDE HEIGHTS,NJ,08751,238130,Framing,2026-05-19
348948241,ROBERT J. FRITZ CONSTRUCTION LLC,SEASIDE HEIGHTS,NJ,08751,236115,,2026-05-19
348946765,THE S.HEKEMIAN GROUP,FRANKLIN LAKES,NJ,07417,236116,,2026-05-18
348947326,FULIN 888 CONSTRUCTION INC.,BROOKLYN,NY,11206,236116,,2026-05-18
348947334,FULIN 888 CONSTRUCTION INC.,BROOKLYN,NY,11206,236116,,2026-05-18
348947359,A1 IRON WORKS NY CORP.,BROOKLYN,NY,11205,238120,,2026-05-18
348945452,EMJ ENTERPRISES,CEDAR GROVE,NJ,07009,238160,Roofing,2026-05-18
348947383,A1 IRON WORKS NY CORP.,BROOKLYN,NY,11205,238120,,2026-05-18
348947391,295 WILLOUGHBY LLC,BROOKLYN,NY,11205,236220,Commercial Bldg,2026-05-18
348947409,CRANES EXPRESS INC.,BROOKLYN,NY,11205,238990,,2026-05-18
348946716,SKY CONTRACTING LLC,FRANKLIN LAKES,NJ,07417,238910,,2026-05-18
348944059,MILLENNIUM RESTORATION CORP.,BRONX,NY,10467,236116,,2026-05-18
348954314,"TOWNSHIP OF EDISON, DPW, DIVISION OF STREETS",EDISON,NJ,08817,237310,Highway/Bridge,2026-05-18
348942301,"JESAN CONSTRUCTION SERVICES, LLC",JERSEY CITY,NJ,07306,236220,Commercial Bldg,2026-05-18
348942087,KMK DEVELOPMENT GROUP INC,HALEDON,NJ,07508,236210,,2026-05-18
348947425,CRANES EXPRESS INC.,BROOKLYN,NY,11205,238990,,2026-05-18
348951138,JCA CONSTRUCTION LLC,PATERSON,NJ,07524,236115,,2026-05-15
348944562,"G&V CONSTRUCTION, INC",BLOOMFIELD,NJ,07003,238160,Roofing,2026-05-15
348945213,GREENPORT VILLAGE HIGHWAY DEPARTMENT,GREENPORT,NY,11944,237310,Highway/Bridge,2026-05-15
348941824,RYLAND ELECTRIC LLC,HALEDON,NJ,07508,238210,,2026-05-15
348942707,REVIVE HOME REMODELING GROUP,BLOOMFIELD,NJ,07003,238160,Roofing,2026-05-15
348942731,DELUXE PC,BLOOMFIELD,NJ,07003,238130,Framing,2026-05-15
348940974,MLT CONSTRUCTION LLC,MORRISTOWN,NJ,07960,238170,,2026-05-15
348941105,RUSSO DEVELOPMENT LLC,LYNDHURST,NJ,07071,236220,Commercial Bldg,2026-05-15
348953324,"SIMBAINA HOME IMPROVEMENT, LLC",BLOOMFIELD,NJ,07003,238160,Roofing,2026-05-15
348939117,DIMITRAKIS CONSTRUCTION GROUP INC.,WYCKOFF,NJ,07481,238160,Roofing,2026-05-14
348939190,PRIME GROUP NY LLC,JERSEY CITY,NJ,07306,238990,,2026-05-14
348939356,GROESBECK & GROESBECK HOME IMPROVEMENT LLC,RAMSEY,NJ,07446,236118,,2026-05-14
348935651,SZWARC CONSTRUCTION OF NY INC,RAMSEY,NJ,07446,238160,Roofing,2026-05-14
348937558,"ATLANTIC REINFORCING CONCRETE CO., INC.",DEER PARK,NY,11729,238110,,2026-05-14
348933623,"POWER DESIGN, INC.",CORONA,NY,11368,238210,,2026-05-13
348933870,COGRI USA,PERTH AMBOY,NJ,08861,238330,,2026-05-13
348934977,GTS CONSTRUCTION CORP.,LEVITTOWN,NY,11756,238160,Roofing,2026-05-13
348935032,PARK EAST CONSTRUCTION CORP.,HICKSVILLE,NY,11801,236220,Commercial Bldg,2026-05-13
348935172,"ATLAS WELDING & FABRICATION, INC.",PISCATAWAY,NJ,08854,238120,,2026-05-13
348946872,BADGER MANAGEMENT INC.,NEW YORK,NY,10002,236118,,2026-05-13
348933599,THE BARTHOLOMEW CO. INC,STATEN ISLAND,NY,10314,238990,,2026-05-13
348939877,"MIRANDAS GENERAL CONSTRUCTION, LLC",RUMSON,NJ,07760,238310,,2026-05-12
348939968,"BRITTON BUILT, LLC",RUMSON,NJ,07760,236115,,2026-05-12
348940016,PATRIOTA CONSTRUCTION CORP,IRVINGTON,NJ,07111,238170,,2026-05-12
348935545,LOMUPO WATER & SEWER,RAMSEY,NJ,07446,237110,,2026-05-12
348932245,TOWNSHIP OF OCEAN DEPARTMENT OF PUBLIC WORKS,WARETOWN,NJ,08758,237310,Highway/Bridge,2026-05-12
348931049,WYDLE HOMES INC,WYANDANCH,NY,11798,238130,Framing,2026-05-12
348931973,DASKAL LLC,WALLINGTON,NJ,07057,236220,Commercial Bldg,2026-05-12
348932096,NJ ROOFING COMPANY DBA ROOF 4 ROOF,CARLSTADT,NJ,07072,238160,Roofing,2026-05-12
348929019,ERA HVAC SERVICES INC,LIVINGSTON,NJ,07039,238220,,2026-05-11
348929043,RODAK BUILDERS LLC,LIVINGSTON,NJ,07039,236210,,2026-05-11
348929605,F MARQUES CONSTRUCTION LLC,ELIZABETH,NJ,07208,238130,Framing,2026-05-11
348928623,JCA CONSTRUCTION LLC,FLORHAM PARK,NJ,07932,238160,Roofing,2026-05-11
348944224,JAN CONSTRUCTION SERVICES CORP.,SCARSDALE,NY,10583,238130,Framing,2026-05-11
348927732,"AMORA BUILDERS, INC.",PARSIPPANY,NJ,07054,238130,Framing,2026-05-11
348927427,D&J CARPENTRY ROOFING LLC,YONKERS,NY,10710,238160,Roofing,2026-05-10
348927542,"DYDO CONSTRUCTION, LLC.",NEPTUNE,NJ,07753,238160,Roofing,2026-05-08
348927617,"K. HOVNANIAN CONSTRUCTION MANAGEMENT, INC",NEPTUNE,NJ,07753,236117,,2026-05-08
348927690,E&Y CONCRETE LLC.,NEPTUNE,NJ,07753,238140,Masonry,2026-05-08
348927880,RENILDO DA SILVA,JACKSON,NJ,08527,238130,Framing,2026-05-08
348927310,KAEL CONTRACTING CORPORATION,PELHAM,NY,10803,238160,Roofing,2026-05-08
348925595,"ESPOSITO CONSTRUCTION, LLC",BRANCHBURG,NJ,08853,237110,,2026-05-08
348926023,CITY OF RAHWAY DEPARTMENT OF PUBLIC WORKS,RAHWAY,NJ,07065,237310,Highway/Bridge,2026-05-08
348927369,PETER GISONDI & CO INC,CORTLANDT MANOR,NY,10567,238320,,2026-05-07
348923467,BUONAFINA PLUMBING & HEATING LLC,VERONA,NJ,07044,238220,,2026-05-06
348922659,AMERICAN ROOFING & SIDING,VERONA,NJ,07044,238160,Roofing,2026-05-06
348922683,GKH CONSTRUCTION,VERONA,NJ,07044,238160,Roofing,2026-05-06
348920950,PARSIPPANY LITTLETON LLC,PARSIPPANY,NJ,07054,236220,Commercial Bldg,2026-05-06
348920596,HUNTINGTON TN HWY DEPT ELWOOD YARD,HUNTINGTON,NY,11743,237310,Highway/Bridge,2026-05-06
348920745,H&J BASTOS MECHANICAL LLC,PARSIPPANY,NJ,07054,238220,,2026-05-06
348923483,L&C ELECTRIC CORP,VERONA,NJ,07044,238210,,2026-05-06
348925843,"MARLIN CONSTRUCTION SERVICES, INC.",LAKEHURST NAEC,NJ,08733,238910,,2026-05-06
348918103,TRIPLE SUN INC.,BROOKLYN,NY,11214,236220,Commercial Bldg,2026-05-05
348917675,BOROUGH OF SOUTH BOUND BROOK PUBLIC WORKS DEPARTMENT,SOUTH BOUND BROOK,NJ,08880,237310,Highway/Bridge,2026-05-05
348920844,"GREEN HYBRID ENERGY SOLUTIONS, INC.",NEW ROCHELLE,NY,10804,238160,Roofing,2026-05-05
348920976,RJ FRAMING LLC,OCEAN TOWNSHP,NJ,07723,238130,Framing,2026-05-05
348921016,MOLINA CONSTRUCTION LLC,OCEAN TOWNSHP,NJ,07723,238160,Roofing,2026-05-05
348919481,ELITE C CONSTRUCTION CORPORATION,MONROE TOWNSHIP,NJ,08831,238160,Roofing,2026-05-05
348919838,CONSTRUCTORA INC.,JERSEY CITY,NJ,07304,238140,Masonry,2026-05-05
348920679,HUA YANG INC.,ELMHURST,NY,11373,236220,Commercial Bldg,2026-05-05
348920752,HUIMA CONSTRUCTION INC.,ALLENHURST,NJ,07711,238160,Roofing,2026-05-05
348916990,"FRONTLINE CONTRACTORS, LLC.",MONROE TOWNSHIP,NJ,08831,238130,Framing,2026-05-05
348917121,24-7 MAINTENANCE LLC,MAHWAH,NJ,07430,238160,Roofing,2026-05-05
348917006,TALO CONSTRUCTION CORP,ISELIN,NJ,08830,238130,Framing,2026-05-04
348931007,BOROUGH OF TINTON FALLS DPW,TINTON FALLS,NJ,07724,237310,Highway/Bridge,2026-05-01
348913112,SUFFOLK COUNTY DPW,WEST HAMPTON DUNES,NY,11978,237310,Highway/Bridge,2026-05-01
348913195,LONG ISLAND MASTER CONSTRUCTION,KINGS POINT,NY,11024,236115,,2026-05-01
348913203,"FISCHER ROOFING, LLC",EAST RUTHERFORD,NJ,07073,238160,Roofing,2026-05-01
348912288,R & S PRIME PROPERTY LLC,WASHINGTON TWPS,NJ,07676,236116,,2026-05-01
348911983,ISARODMAX LANDSCAPE & CONSTRUCTION LLC,HASBROUCK HEIGHTS,NJ,07604,238170,,2026-04-30
348937756,LA BESTIA LLC,DENVILLE,NJ,07834,238170,,2026-04-30
348911801,"U.S GENERAL CONSTRUCTION & PAINTING,  CORP",BRONX,NY,10463,236118,,2026-04-30
348908914,VALDEZ D & H CONSTRUCTION LLC,WASHINGTON TWPS,NJ,07676,238110,,2026-04-29
348908997,QUETZALTENANGO CONSTRUCTION LLC,HO HO KUS,NJ,07423,238160,Roofing,2026-04-29
348909094,HOME CARE IMPROVEMENT LLC,BLOOMFIELD,NJ,07003,238160,Roofing,2026-04-29
348909185,REYNALDO CUC COC,FREEHOLD,NJ,07728,238130,Framing,2026-04-29
348951690,AMMAR GENERAL CONSTRUCTION INC,LIVINGSTON,NJ,07039,238130,Framing,2026-04-29
348951708,FAST FRAMING CONSTRUCTION LLC,LIVINGSTON,NJ,07039,238130,Framing,2026-04-29
348907981,PACO'S CONSTRUCTION CORP,LIVINGSTON,NJ,07039,238130,Framing,2026-04-29
348908005,TITAN PROPERTY MASTER INC,LIVINGSTON,NJ,07039,238160,Roofing,2026-04-29
348906462,CORE SCAFFOLDING,BROOKLYN,NY,11211,238990,,2026-04-29
348906538,TAYLOR CONSTRUCTION LLC,CARLSTADT,NJ,07072,238160,Roofing,2026-04-29
348912643,EMPORIOR CONTRACTORS LLC,JERSEY CITY,NJ,07304,238160,Roofing,2026-04-29
348909664,"1M&C CONTRACTORS, INC.",NEWARK,NJ,07105,238310,,2026-04-28
348904376,"DELTA MECHANICAL SERVICES, LLC",JERSEY CITY,NJ,07304,238220,,2026-04-28
348906918,SCI CORP,RAMSEY,NJ,07446,238160,Roofing,2026-04-28
348904236,GOLD COAST CONTRACTORS LLC,JERSEY CITY,NJ,07304,236116,,2026-04-28
348906371,JH SHORE CONTRACTING,BRICK,NJ,08723,238390,,2026-04-28
348906546,"WSC CONTRACTOR IMPORT, INC.",FREEHOLD,NJ,07728,238170,,2026-04-28
348906819,ADD VENTURES CONSTRUCTION PROFESSIONALS,RAMSEY,NJ,07446,238160,Roofing,2026-04-28
348911975,CARDOZA PLUMBING CORP.,NEW YORK,NY,10075,238220,,2026-04-27
348903519,"A.S.R. ELECTRICAL CONTRACTING, INC.",NEW YORK,NY,10075,238210,,2026-04-27
348904368,"L&L STONE & TILE, LLC",NEW YORK,NY,10075,238340,,2026-04-27
348904533,ALMERA TECH SERVICES,ENGLEWOOD CLIFFS,NJ,07632,238990,,2026-04-27
348904608,ROSALES DRYWALL,ENGLEWOOD CLIFFS,NJ,07632,238310,,2026-04-27
348904087,"JDP MECHANICAL, INC",NEW YORK,NY,10075,238220,,2026-04-27
348904269,"PARKVIEW PLUMBING & HEATING, INC.",NEW YORK,NY,10075,238220,,2026-04-27
348905613,"RIGGS CONTRACTING, INC.",NEW YORK,NY,10075,238350,,2026-04-27
348914367,HORIZON INTERIORS INC,PASSAIC,NJ,07055,236220,Commercial Bldg,2026-04-27
348898180,MANY CONSTRUCTION & IMPROVEMENT LLC,ELIZABETH,NJ,07201,238170,,2026-04-24
348899626,RAMN CONSTRUCTION LLC,PASSAIC,NJ,07055,238140,Masonry,2026-04-24
348913088,MW MANAGEMENT INC,PASSAIC,NJ,07055,236220,Commercial Bldg,2026-04-24
348906769,SAN-MAR CONCRETE CORP,WASHINGTON TWPS,NJ,07676,238140,Masonry,2026-04-24
348894452,COLONY SERVICES CORP.,NEW YORK,NY,10013,238110,,2026-04-23
348894551,J. FLETCHER CREAMER & SON INC.,PLAINSBORO,NJ,08536,237310,Highway/Bridge,2026-04-23
348898123,"ROY ROCK MASONRY AND CONCRETE, LLC",HOBOKEN,NJ,07030,238140,Masonry,2026-04-23
348898396,MICHAEL FELDMAN,ENGLEWOOD CLIFFS,NJ,07632,238170,,2026-04-23
348898487,PEAK DEVELOPERS - NJ REAL ESTATE DEVELOPERS & LUXURY HOME BUILDERS,ENGLEWOOD CLIFFS,NJ,07632,238140,Masonry,2026-04-23
348898586,ASF CONSTRUCTION & EXCAVATION CORP,WHITE PLAINS,NY,10601,238110,,2026-04-23
348901224,MAXPOL2 LLC,ENGLEWOOD CLIFFS,NJ,07632,238140,Masonry,2026-04-23
348895228,FRESKOLO HOME CONSTRUCTION LLC,TENAFLY,NJ,07670,238160,Roofing,2026-04-23
348895384,IDL CONSTRUCTION CORP,GREAT NECK,NY,11023,237990,,2026-04-23
348895467,HIGHWOOD CONSTRUCTION INC,TENAFLY,NJ,07670,238160,Roofing,2026-04-23
348895525,CAPSTONE CONTRACTING CORP,GREAT NECK,NY,11023,236116,,2026-04-23
348914235,ARC INTERIOR CONSTRUCTION INC.,YONKERS,NY,10710,238350,,2026-04-23
348914292,TONY CASALE INC.,WEST HARRISON,NY,10604,238910,,2026-04-23
348914334,TS&G CONSTRUCTION CORP. HUDSON MASONRY,NANUET,NY,10954,238140,Masonry,2026-04-23
348893801,A1 ROOFING AND SIDING,CLIFTON,NJ,07013,238160,Roofing,2026-04-22
348893959,EXPRESS WAY ROOFING AND SIDING LLC,CLIFTON,NJ,07013,238160,Roofing,2026-04-22
348894122,KOL YESHURUN,PASSAIC,NJ,07055,238130,Framing,2026-04-22
348897034,BRIDAL ESTATES INC.,STATEN ISLAND,NY,10309,236116,,2026-04-22
348897679,SINGH WELDING LLC,BROOKLYN,NY,11249,238190,,2026-04-22
348898032,BLADE FRAMING LLC,BROOKLYN,NY,11211,238130,Framing,2026-04-22
348899113,PARK MANAGEMENT USA CORP.,BROOKLYN,NY,11211,236116,,2026-04-22
348899139,JAN-POL INC.,BROOKLYN,NY,11211,238350,,2026-04-22
348899295,CREATIVE BUILDERS & DEVELOPERS INC.,BROOKLYN,NY,11211,236116,,2026-04-22
348844960,DINACO CONTRACTING CORP,NEW ROCHELLE,NY,10805,238130,Framing,2026-04-21
348887621,RAFAL DUL,ORADELL,NJ,07649,238310,,2026-04-21
348893488,HEMPSTEAD TOWN PARKS DEPT MARKET LN GARAGE,LEVITTOWN,NY,11756,237310,Highway/Bridge,2026-04-21
348890229,LLIGUICOTA HOME IMPROVEMENT LLC,MAYWOOD,NJ,07607,238160,Roofing,2026-04-21
348890260,MILANOS MASONRY LLC,MAYWOOD,NJ,07607,238140,Masonry,2026-04-21
348890468,"TRITON CONSTRUCTION COMPANY, LLC",GREAT NECK,NY,11023,236116,,2026-04-21
348890674,RC STUCCO II INC,EAST HAMPTON,NY,11937,238390,,2026-04-21
348890773,PECONIC BAY MATERIALS CORP,EAST HAMPTON,NY,11937,238910,,2026-04-21
348890849,ISLAND DESIGN BUILD CORP.,EAST HAMPTON,NY,11937,236117,,2026-04-21
348914276,"RMI COMMUNICATION SERVICES, INC.",ARDSLEY,NY,10502,238210,,2026-04-21
348886227,"PORTUGUESE STRUCTURAL STEEL, INC.",KEARNY,NJ,07032,238120,,2026-04-20
348887647,UNIQUE CUSTOM HOMES LLC,ORADELL,NJ,07649,236116,,2026-04-20
348890625,OZ STEEL INC.,DEAL,NJ,07723,238120,,2026-04-20
348885195,ORLANDO CASTRO CONSTRUCTION,MIDLAND PARK,NJ,07432,238130,Framing,2026-04-20
348885252,MJ ENTERPRISES LLC,MIDLAND PARK,NJ,07432,236116,,2026-04-20
348885286,CROCE BUILDERS INC,ROSELLE PARK,NJ,07204,238160,Roofing,2026-04-20
348881061,ME WOOD CONSTRUCTION,UPPER SADDLE RIVER,NJ,07458,238130,Framing,2026-04-17
348883596,J & C STEEL FABRICATORS CORP.,BROOKLYN,NY,11208,238120,,2026-04-17
348884370,BETHEL CORPORATION,SCARSDALE,NY,10530,238170,,2026-04-17
348884388,LEO & SONS CONTRACTING INC.,PORT CHESTER,NY,10573,238160,Roofing,2026-04-17
348883075,STATE CONTRACTING CORP. OF NY,ELMSFORD,NY,10523,238910,,2026-04-17
348884891,DCH CONCRETE INC,ELMONT,NY,11003,238110,,2026-04-17
348881327,"B & G EXTERIORS, LLC",NORTHVALE,NJ,07647,238390,,2026-04-16
348880907,J & B CONTRACTING NY. INC.,PORT CHESTER,NY,10573,238130,Framing,2026-04-16
