activity_nr,citation_id,standard,viol_type,issuance_date,current_penalty,initial_penalty
348830688,01001A,19261053 B13,S,2026-04-14,6000,11585
348830688,01001B,19261060 A,S,2026-04-14,0,0
348827106,01001,19260501 B13,R,2026-04-23,9930,9930
348827304,01001,19260451 B05 II,S,2026-04-22,5958,5958
348827304,01002,19260451 E08,S,2026-04-22,5958,5958
348827304,02001,19260451 G04 I,R,2026-04-22,11916,11916
348827304,02002,19260501 B13,R,2026-04-22,29790,29790
348814245,01001,19260102 A01,S,2026-03-25,1000,2270
348814245,01002,19260451 G01,S,2026-03-25,2400,3972
348814245,01003,19261053 B01,S,2026-03-25,2400,3972
348818980,01001,19040039 A02,O,2026-04-01,0,0
348820341,01001,19260100 A,S,2026-05-05,1447,2412
348820341,01002,19260501 B01,S,2026-05-05,2171,3618
348820341,01003,19260502 D15,S,2026-05-05,2979,4965
348820341,01004,19261053 B01,S,2026-05-05,2979,4965
348820341,02001,19260503 B01,O,2026-05-05,239,398
348816950,01001,19260501 B13,S,2026-04-03,5958,5958
348816984,01001,19260501 B13,S,2026-04-22,2900,4965
348817156,01001,19260501 B01,W,2026-04-02,39723,39723
348822909,01001,19260451 G04 I,S,2026-04-22,4965,4965
348831645,01001,19100147 C04 II,S,2026-04-17,7000,7000
348831645,01002,19100147 C06 I,S,2026-04-17,7000,7000
348831645,01003,19100147 C06 II,S,2026-04-17,7000,7000
348814518,01001,19260501 B13,S,2026-05-05,2979,4965
348809062,01001,19260602 D,S,2026-04-29,4256,4256
348809062,01002,19261053 B04,S,2026-04-29,4256,4256
348809062,02001,19260501 B13,R,2026-04-29,9930,9930
348809062,02002,19260503 B01,R,2026-04-29,9930,9930
348802943,01001,19260501 B13,S,2026-04-08,4965,4965
348802976,01001,19260501 B13,S,2026-04-08,4965,4965
348803578,01001,19260501 B13,R,2026-04-03,29790,29790
348803578,01002,19260503 A02,R,2026-04-03,29790,29790
348802703,01001,19260501 B13,R,2026-04-01,17892,29790
348802752,01001,19260501 B13,S,2026-04-01,0,4965
348803073,01001,19260501 B13,S,2026-04-08,2900,4965
348797556,01001,19100147 C04 I,S,2026-03-18,4900,4900
348797556,01002,19100157 D01,S,2026-03-18,4900,4900
348797556,01003,N.J.S.A. 34:6A-33(A),S,2026-03-18,4900,4900
348797556,01004,N.J.S.A. 34:6A-33(A),S,2026-03-18,4900,4900
348797556,01005,N.J.S.A. 34:6A-33(A),S,2026-03-18,4900,4900
348793647,01001,19260850 A,S,2026-05-07,3972,3972
348791351,01001,12 NYCRR PART 801.4,O,2026-04-29,0,0
348791872,01001,19260150 C01 VIII,O,2026-05-19,1950,2270
348785643,01001,19260501 B13,S,2026-04-03,5958,5958
348785767,01001,19260501 B13,S,2026-04-08,3000,4965
348785767,01002,19260503 A02,S,2026-04-08,2112,3547
348785833,01001,19260451 E09 IV,S,2026-04-08,2718,4965
348785833,01002,19260451 F04,S,2026-04-08,2718,4965
348785833,01003,19260451 G01 VII,S,2026-04-08,2718,4965
348785833,01004,19260451 G03 I,S,2026-04-08,2718,4965
348786211,01001,19260501 B13,S,2026-04-01,4965,4965
348781253,01001,19100146 K01 III A,S,2026-03-11,4900,4900
348781253,01002,19100147 C04 I,S,2026-03-11,4900,4900
348781253,02001,19100157 E02,O,2026-03-11,700,700
348780024,01001,19260451 C03,S,2026-03-20,2010,2838
348780024,01002,19260451 G01,S,2026-03-20,2979,3972
348780024,01003,19261053 B01,S,2026-03-20,2011,2838
348774258,01001,19260020 B02,S,2026-05-20,4965,4965
348774258,01002,19260102 A01,S,2026-05-20,4965,4965
348774258,01003,19260416 A01,S,2026-05-20,4965,4965
348774258,01004,19260416 A03,S,2026-05-20,4965,4965
348772260,01001,19260501 B13,S,2026-03-27,0,4965
348772310,01001,19100178 M05 I,S,2026-03-20,5107,5107
348772310,01002,19100178 M05 II,S,2026-03-20,5107,5107
348772336,01001,19260501 B13,S,2026-04-21,3227,4965
348756842,01001,19260501 B01,S,2026-03-13,4965,4965
348761958,02001,19260651 C02,R,2026-03-12,5000,8513
348761958,02002,19260652 A01,R,2026-03-12,5000,11916
348761958,02003,19260651 K01,R,2026-03-12,5000,8513
348765116,01001,19260501 B13,S,2026-02-27,4965,4965
348755778,01001,19260501 B13,S,2026-05-01,4965,4965
348750118,01001,19100213 D01,S,2026-03-17,16550,16550
348748997,01001,19260501 B13,W,2026-03-26,39723,39723
348734724,01001,19260452 Y03,S,2026-02-20,4965,4965
348734773,01001,19260452 Y03,S,2026-02-20,3227,4965
348734930,01001,19260452 Y03,S,2026-02-20,4965,4965
348751157,01001,19260501 B13,S,2026-02-20,4965,4965
348728825,01001,19260100 A,S,2026-03-19,5958,5958
348728825,01002,19260102 A01,S,2026-03-19,5958,5958
348728825,02001,19260501 B13,R,2026-03-19,29790,29790
348728825,02002,19260503 A02,R,2026-03-19,21281,21281
348724238,01001A,19100134 E01,S,2026-03-24,3724,4965
348724238,01001B,19100134 F02,S,2026-03-24,0,0
348724238,01001C,19100134 K,S,2026-03-24,0,0
348724238,01002,19261153 I01,S,2026-03-24,3724,4965
348732793,01001,19100141 A03 I,O,2026-03-04,700,700
348732793,01002,19100141 A05,O,2026-03-04,700,700
348732793,01003,N.J.A.C. 12:100-13.3(A) (OPTION 1,O,2026-03-04,700,700
348732793,01004,N.J.A.C. 12:100-13.3(A)(8),O,2026-03-04,700,700
348732793,01005,N.J.A.C. 12:100-13.4(C),O,2026-03-04,700,700
348732793,01006,N.J.A.C. 12:100-13.4(D),O,2026-03-04,700,700
348732793,01007,N.J.A.C. 12:100-13.6(C),O,2026-03-04,700,700
348720137,01001,19260501 B13,S,2026-03-19,4965,4965
348720160,01001,19260100 A,S,2026-03-18,5958,5958
348720160,01002,19260501 B13,R,2026-03-18,29790,29790
348720160,01003,19260503 A02,R,2026-03-18,11916,11916
348720228,01001,19260501 B13,S,2026-03-18,4965,4965
348720228,01002,19260503 A02,S,2026-03-18,4965,4965
348717281,01001,19260501 B13,S,2026-04-02,3600,5958
348718008,01001,19260100 A,S,2026-05-07,2837,2837
348718008,01002,19260102 A01,S,2026-05-07,2837,2837
348718008,01003,19260501 B13,S,2026-05-07,3547,3547
348705138,01001,19260501 B13,R,2026-03-26,29790,29790
348701459,01001A,19261153 C01,S,2026-04-21,11585,11585
348701459,01001B,19261153 D02 I,S,2026-04-21,0,0
348701459,01001C,19261153 G01,S,2026-04-21,0,0
348701483,01001,19260501 B01,O,2026-01-23,2482,4256
348711334,01001,19260501 B13,S,2026-04-01,4965,4965
348728767,01001,19260501 B13,S,2026-04-02,5958,5958
348707530,01001,19100178 L01 I,S,2026-03-17,4965,4965
348707530,01002,19260501 B13,S,2026-03-17,4965,4965
348707530,01003,19260503 A02,S,2026-03-17,3547,3547
348707530,01004,19260602 C01 VI,S,2026-03-17,4965,4965
348707548,01001,19100178 L01 I,S,2026-03-17,4965,4965
348707548,01002,19260501 B13,S,2026-03-17,4965,4965
348707548,01003,19260503 A02,S,2026-03-17,3547,3547
348707548,01004,19260602 C01 VI,S,2026-03-17,4965,4965
348705252,01001,19260501 B13,S,2026-04-22,3300,4965
348725946,01001,19260501 B13,R,2026-05-08,29790,29790
348698374,01001,19260501 B04 I,S,2026-04-09,3260,4965
348698374,01002A,19260502 H01 I,S,2026-04-09,3260,4965
348698374,01002B,19260502 H01 III,S,2026-04-09,0,0
348698374,01003,19261053 B01,O,2026-04-09,1980,3015
348694472,01001,19260501 B13,S,2026-05-18,3227,4965
348694548,01001A,19100028 B01 I,S,2026-05-18,3000,4965
348694548,01001B,19100067 C02 V,S,2026-05-18,0,0
348692716,01001,19260501 B13,S,2026-03-19,3000,4965
348692773,01001,19260100 A,S,2026-03-17,5958,5958
348692773,01002,19260501 B13,S,2026-03-17,5958,5958
348692773,01003,19260503 A02,S,2026-03-17,5958,5958
348692807,01001,19260501 B13,S,2026-03-17,5958,5958
348692807,01002,19260503 A02,S,2026-03-17,5958,5958
348692872,01001,19260501 B13,S,2026-04-01,4965,4965
348692997,01001,19260501 B13,S,2026-03-17,4965,4965
348692997,01002,19260503 A02,S,2026-03-17,4965,4965
348693714,01001,19260501 B02 I,S,2026-03-31,4965,4965
348694001,01001,19260501 B01,R,2026-04-22,7128,11916
348694100,01001,19260501 B13,S,2026-05-18,4965,4965
348857343,01001,19260501 B01,R,2026-04-22,29790,29790
348688441,01001,19260501 B13,S,2026-04-10,3227,4965
348688441,01002,19260502 D,S,2026-04-10,3227,4965
348688441,01003,19260552 A01,S,2026-04-10,3227,4965
348720012,01001,19260100 A,S,2026-04-01,1125,1702
348720012,01002,19260501 B13,S,2026-04-01,2625,3972
348688953,01001,19260453 B02 II,S,2026-03-26,2837,2837
348688953,01002,19260453 B02 V,S,2026-03-26,4965,4965
348688953,01003,19260453 B02 VI,S,2026-03-26,4965,4965
348688953,01004,19260760 A01,S,2026-03-26,4965,4965
348688953,02001,19260761 B,O,2026-03-26,398,398
348693870,01001,19260451 B01,S,2026-05-18,4965,4965
348693870,01002,19260451 G01,S,2026-05-18,4965,4965
348689241,01001A,19260451 G01,S,2026-03-12,4965,4965
348689241,01001B,19260502 D15,S,2026-03-12,0,0
348689241,01002,19260501 B01,S,2026-03-12,3547,3547
348689241,01003,19260701 B,S,2026-03-12,4965,4965
348875451,01001,19260102 A01,S,2026-05-18,2270,2270
348875451,01002,19260501 B13,S,2026-05-18,3972,3972
348685199,01001,19100178 M05 I,S,2026-02-27,0,6620
348685975,01001,19260501 B13,R,2026-04-01,29790,29790
348686122,01001,19260501 B13,R,2026-03-17,18000,29790
348782889,01001,19260025 A,S,2026-03-23,0,4965
348782889,01002,19260501 B13,S,2026-03-23,0,4965
348670985,01001,19260501 B13,S,2026-01-30,3000,4965
348670985,01002,19260503 A01,S,2026-01-30,2100,3547
348670985,01003,19261053 B01,S,2026-01-30,3000,4965
348671678,01001,19260501 B13,S,2026-01-30,3996,4965
348671678,01002,19260503 A01,S,2026-01-30,0,3547
348671678,01003,19261053 B01,S,2026-01-30,3996,4965
348668021,01001,19260501 B13,R,2026-02-25,24825,24825
348668211,01001,19260501 B13,S,2026-03-31,4965,4965
348665688,01001,19260252 A,S,2026-02-05,4256,4256
348665688,01002,19260501 B10,S,2026-02-05,4965,4965
348654021,01001,19260501 B13,S,2026-01-05,3000,4965
348652199,01001B,19261052 C01,S,2026-04-10,0,0
348652199,01002,19261053 B13,S,2026-04-10,5958,5958
348652199,02001,19260100 A,R,2026-04-10,6809,6809
348652199,02002,19260501 B13,R,2026-04-10,11916,11916
348652199,01001A,19261052 A03,S,2026-04-10,5107,5107
348652223,01001,19260501 B13,S,2026-04-30,4965,4965
348652223,01002,19261053 B01,S,2026-04-30,4965,4965
348654088,01001,19260451 B02,S,2026-02-25,4965,4965
348654088,01002,19260451 G01,S,2026-02-25,4965,4965
348661026,01001,19100141 A03 I,O,2026-01-13,1000,1000
348643586,01001,19260501 B13,S,2026-04-28,4965,4965
348641796,01001,19260501 B13,S,2026-02-20,4965,4965
348641796,01002,19261053 B01,S,2026-02-20,2837,2837
348884396,01001,19260102 A01,S,2026-04-24,2270,2270
348884396,01002,19260501 B13,S,2026-04-24,3972,3972
348884396,01003,19261053 B01,S,2026-04-24,3972,3972
348639352,01001,19260501 B13,S,2026-01-09,3000,4965
348639352,01002,19260502 D21,S,2026-01-09,3000,4965
348639519,01001,19260102 A01,S,2026-01-09,4965,4965
348639519,01002,19260403 B02,S,2026-01-09,4965,4965
348639519,01003,19260416 E01,S,2026-01-09,4965,4965
348639519,01004,19260501 B13,S,2026-01-09,4965,4965
348639519,01005,19261053 B16,S,2026-01-09,4965,4965
348639519,01006,19261060 A,S,2026-01-09,3547,3547
348639550,01001,19260102 A01,S,2026-04-01,4965,4965
348639550,01002,19260403 B02,S,2026-04-01,4965,4965
348639550,01003,19260416 E01,S,2026-04-01,4965,4965
348639550,01004,19260501 B13,S,2026-04-01,4965,4965
348639550,01005,19261053 B16,S,2026-04-01,4965,4965
348639550,01006,19261060 A,S,2026-04-01,3547,3547
348639600,01001,19260451 G01 VII,S,2026-01-29,2979,4965
348639600,01002,19261053 B01,S,2026-01-29,1277,2128
348639600,02001,19260503 B01,O,2026-01-29,239,398
348634932,01001A,19100132 A,S,2026-04-10,3547,3547
348634932,01001B,19100132 D01,S,2026-04-10,0,0
348634932,01002,19100133 A01,S,2026-04-10,3547,3547
348637455,01001,19100037 B02,S,2025-12-19,2800,2800
348637455,01002,19100303 B01,S,2025-12-19,2800,2800
348637455,02001,19040029 A,O,2025-12-19,150,150
348637455,02002,19040029 A,O,2025-12-19,150,150
348637455,02003,19040029 A,O,2025-12-19,150,150
348637455,02004,19040029 A,O,2025-12-19,150,150
348637455,02005,19040029 A,O,2025-12-19,150,150
348637455,02006,19040029 A,O,2025-12-19,150,150
348637455,02007,19100132 D02,O,2025-12-19,150,150
348637455,02008,19100157 E02,O,2025-12-19,150,150
348637539,01001,19260501 B13,S,2026-01-05,3000,4965
348633975,01001,19260651 C02,S,2026-04-09,2000,2838
348633975,01002,19260651 J02,S,2026-04-09,1600,2270
348633975,01003,19260652 A01,S,2026-04-09,2800,3972
348644600,01001,19260020 B02,O,2026-05-07,0,0
348636507,01001,19260021 B02,S,2026-03-17,2128,2128
348636507,01002,19260453 B02 V,S,2026-03-17,4965,4965
348636507,01003A,19261153 E01,S,2026-03-17,3547,3547
348636507,01003B,19261153 E02,S,2026-03-17,0,0
348636507,01004,19261153 I01,S,2026-03-17,2128,2128
348689159,01001,19261053 B13,S,2026-03-25,2553,2553
348689159,02001,19260501 B13,R,2026-03-25,11916,11916
348662347,01001,19260501 B13,S,2026-03-06,3972,3972
348662347,01002,19261053 B01,S,2026-03-06,3972,3972
348624750,01001,19260451 E09 I,S,2026-05-11,3972,3972
348624750,01002,19260451 F07,S,2026-05-11,3972,3972
348624750,01003,19260451 G02,S,2026-05-11,3972,3972
348645557,01001A,19260453 B02 V,S,2026-04-21,4965,4965
348645557,01001B,19260453 B02 IV,S,2026-04-21,0,0
348645557,01002,19260501 B01,S,2026-04-21,4965,4965
348627175,01001,19260652 A01,S,2026-04-28,4965,4965
348644444,01001,19260501 B13,S,2026-01-21,3476,4965
348644477,01001,19260501 B13,S,2026-01-21,4965,4965
348824608,01001,19260451 E09 I,S,2026-05-11,3972,3972
348824608,01002,19260451 F07,S,2026-05-11,3972,3972
348824608,01003,19260451 G02,S,2026-05-11,3972,3972
348624693,01001,19100037 A04,S,2026-01-28,0,0
348624693,01002,19100120 Q01,S,2026-01-28,0,0
348624693,01003,19100120 Q06 I A,S,2026-01-28,0,0
348624693,01004,19100147 C04 I,S,2026-01-28,0,0
348624693,01005,19100157 C01,S,2026-01-28,0,0
348624693,01006,19100213 C01,S,2026-01-28,0,0
348624693,01007,19100303 B02,S,2026-01-28,0,0
348624693,01008,19100303 F02,S,2026-01-28,0,0
348624693,01009,19100303 G01 II,S,2026-01-28,0,0
348624693,01010,19100305 B01 II,S,2026-01-28,0,0
348624693,02001,12 NYCRR PART 801.4,O,2026-01-28,0,0
348623398,01001,19260451 G01,S,2026-03-27,5958,5958
348623398,02001,19260501 B13,R,2026-03-27,11916,11916
348623430,01001,19260453 B02 V,S,2026-01-21,2979,4965
348623562,01001,19260451 E01,S,2026-04-28,0,12769
348623604,01001,19260451 B01,S,2026-04-10,13902,13902
348623604,02001,19260451 E01,R,2026-04-10,27804,27804
348624594,01001,19260501 B11,W,2026-01-12,24000,33103
348628934,01001,19260453 B02 V,S,2026-01-21,4965,4965
348618042,01001,19261053 B13,S,2026-01-16,2128,2128
348618042,01002,19261060 A,S,2026-01-16,2128,2128
348662305,01001,19260451 C03,S,2026-03-17,2270,2270
348662305,01002,19260451 G01,S,2026-03-17,3972,3972
348616954,01001,19100022 A03,S,2025-12-10,4900,4900
348616954,01002,19100037 B06,S,2025-12-10,4900,4900
348616954,01003,19100147 C04 I,S,2025-12-10,4900,4900
348616954,01005,N.J.S.A. 34:6A-33(A),S,2025-12-10,4900,4900
348616954,02001,19040029 A,O,2025-12-10,700,700
348616954,02002,19040029 A,O,2025-12-10,700,700
348616954,02003,19040029 A,O,2025-12-10,700,700
348616954,02004,19040029 A,O,2025-12-10,700,700
348616954,02005,19040029 A,O,2025-12-10,700,700
348616954,02006,19040029 A,O,2025-12-10,700,700
348616954,02007,19100132 D02,O,2025-12-10,700,700
348619552,01001,19260453 B02 V,S,2026-01-21,4965,4965
348614587,01001,19260451 F07,S,2026-03-16,1986,3972
348614587,01002,19260451 G01,S,2026-03-16,1986,3972
348614587,01003A,19260454 A,S,2026-03-16,1986,3972
348614587,01003B,19260454 B,S,2026-03-16,0,0
348614587,01004,19260501 B01,S,2026-03-16,1986,3972
348614587,01005,19261053 B01,S,2026-03-16,1986,3972
348614835,01001,19260102 A01,S,2025-12-05,2145,3405
348614835,01002,19260501 B13,S,2025-12-05,3753,5958
348614835,02001,19261053 B01,R,2025-12-05,5364,8513
348609793,01001,19100132 D01,S,2026-05-07,2837,2837
348609793,01002,19100133 A01,S,2026-05-07,3547,3547
348609793,01003,19100135 A02,S,2026-05-07,3547,3547
348609793,01004,19100332 B01,S,2026-05-07,3547,3547
348609793,01005,19100333 C03 I A 1,S,2026-05-07,3547,3547
348610601,02001,19260102 A01,R,2026-03-25,0,8512
348610601,02002A,19260501 B13,R,2026-03-25,5400,9930
348610601,02002B,19260503 A02,R,2026-03-25,0,0
348610601,02003,19261053 B01,R,2026-03-25,5400,9930
348609413,01001,19260501 B13,S,2026-01-05,3000,4965
348607789,01001,19260452 J02,S,2026-04-08,3972,3972
348607789,01002,19260501 B13,S,2026-04-08,3972,3972
348607789,01003,19261053 B01,S,2026-04-08,3972,3972
348607250,02003,19261053 B01,R,2026-02-13,11916,11916
348607250,01001,19260102 A01,S,2026-02-13,5107,5107
348607250,01002,19260152 A01,S,2026-02-13,5107,5107
348607250,01003,19261053 B05 I,S,2026-02-13,5958,5958
348607250,02001,19260100 A,R,2026-02-13,11916,11916
348607250,02002,19260501 B13,R,2026-02-13,11916,11916
348604372,01001,19100178 L01 II,O,2026-02-10,0,6620
348604372,01002,19260503 A02 I,O,2026-02-10,4138,8276
348604372,01003,19260020 B02,O,2026-02-10,3310,6620
348604802,01001,19260102 A01,S,2025-11-28,2250,3405
348604802,01002,19260451 G01 VII,S,2025-11-28,2625,3972
348604802,01003A,19260501 B13,S,2025-11-28,2625,3972
348604802,01003B,19260503 A02,S,2025-11-28,0,0
348604836,01001,19100110 F02 I,O,2026-03-20,0,0
348606138,01001,19260021 B02,S,2026-05-06,9931,9931
348606138,02001,19040039 A02,O,2026-05-06,9931,9931
348602806,01001,19260020 B02,O,2026-05-06,8500,13902
348603119,01001,19260021 B02,S,2026-05-11,4965,4965
348597980,01001,19100147 C04 I,S,2026-03-17,6328,9268
348597980,01002,19100157 E03,S,2026-03-17,3844,5628
348597980,01003,19100212 A01,S,2026-03-17,6328,9268
348602558,01001,19260102 A01,S,2025-12-17,6872,10214
348602558,01002,19260100 A,S,2025-12-17,6872,10214
348602558,02001,19260501 B13,R,2025-12-17,24056,35748
348594730,01001,19260501 B02 I,S,2026-02-27,3972,3972
348594730,01002,19261053 B04,S,2026-02-27,3972,3972
348592791,01001,19260451 B01,S,2025-12-11,2979,4965
348592791,01002,19260451 B10,S,2025-12-11,2979,4965
348592791,01003,19260451 G01,S,2025-12-11,2979,4965
348592791,01004,19261053 B21,S,2025-12-11,2979,4965
348593252,01001,19100022 A01,S,2025-11-25,4900,4900
348593252,01002,19100147 C06 I,S,2025-11-25,4900,4900
348593252,01003,19100303 B01,S,2025-11-25,4900,4900
348593252,01004,19100305 E01,S,2025-11-25,4900,4900
348593096,01001,19260453 B02 IV,S,2026-01-21,4965,4965
348593112,01001,19260453 B02 IV,O,2026-01-21,4965,4965
348587908,01001,19260416 A01,S,2026-05-06,4000,5958
348587916,01001,19260451 B01,S,2026-05-08,3972,3972
348587916,01002,19260451 E01,S,2026-05-08,3972,3972
348587916,01003,19260451 G01 VII,S,2026-05-08,3972,3972
348582909,01001,19260501 B13,S,2026-02-06,3972,3972
348582909,01002,19261053 B01,S,2026-02-06,3972,3972
348578378,01001,19100106 G03 III,S,2025-11-12,4200,4200
348578378,01002,19100132 D01,S,2025-11-12,4900,4900
348578378,01003,19100176 C,S,2025-11-12,4900,4900
348578378,01004,19100212 B,S,2025-11-12,2800,2800
348578378,01005,19100244 A01 II,S,2025-11-12,3500,3500
348578378,01006,19100253 B04 III,S,2025-11-12,4900,4900
348578378,01007,N.J.S.A. 34:6A-33(A),S,2025-11-12,4900,4900
348578386,01001,19260021 B02,S,2026-04-29,4000,6620
348578402,01001,19100037 A04,S,2025-11-14,6300,6300
348578402,01002,19100147 C01,S,2025-11-14,6300,6300
348578402,01003,19100305 B01 II,S,2025-11-14,6300,6300
348578402,01004,19100305 C04,S,2025-11-14,6300,6300
348578402,01005,19100305 E01,S,2025-11-14,6300,6300
348578402,02001,19100132 D02,O,2025-11-14,900,900
348578402,02002,N.J.A.C. 12:100-7.3(A),O,2025-11-14,900,900
348578543,01001,19260501 B13,S,2026-04-27,4965,4965
348578543,01002,19260503 A01,S,2026-04-27,4965,4965
348578543,01003,19261053 B01,S,2026-04-27,4965,4965
348593401,01001,5A0001,S,2026-04-20,8276,8276
348593401,02001,19040039 A02,O,2026-04-20,8276,8276
348574450,01001,12 NYCRR PART 800.6(H),S,2025-12-22,0,0
348574450,01002,19100157 C01,S,2025-12-22,0,0
348574450,01003,19100303 B02,S,2025-12-22,0,0
348574450,01004,19100303 F02,S,2025-12-22,0,0
348574450,01005,19100303 G01 II,S,2025-12-22,0,0
348574450,01006,19100305 G02 II,S,2025-12-22,0,0
348574450,02001,19101200 E01,O,2025-12-22,0,0
348574450,02002,19101200 H01,O,2025-12-22,0,0
348574609,01001,19260501 B13,S,2026-01-05,4965,4965
348574609,01002,19261053 B01,S,2026-01-05,4965,4965
348572736,01001,19260703 A01,S,2026-04-27,16550,16550
348572736,01002,19260703 B08 I,S,2026-04-27,16550,16550
348572736,01003,19260703 B08 IV,S,2026-04-27,16550,16550
348568866,01001,19100022 D01,S,2025-11-06,750,750
348568866,01002,19100037 A03,S,2025-11-06,2800,2800
348568866,01003,19100145 C03,S,2025-11-06,2800,2800
348568866,01004,19100147 C01,S,2025-11-06,2800,2800
348568866,01005,19100157 E02,S,2025-11-06,600,600
348568866,01006,19100215 A04,S,2025-11-06,2800,2800
348568866,01007,19100215 B09,S,2025-11-06,2800,2800
348568866,01008,N.J.S.A. 34:6A-33(A),S,2025-11-06,2800,2800
348568866,01009,N.J.S.A. 34:6A-33(A),S,2025-11-06,2800,2800
348568866,02001,19040029 A,O,2025-11-06,150,150
348568866,02002,19040029 A,O,2025-11-06,150,150
348568866,02003,19040029 A,O,2025-11-06,150,150
348568866,02004,19040029 A,O,2025-11-06,150,150
348568866,02005,19040029 A,O,2025-11-06,150,150
348568866,02006,19040029 A,O,2025-11-06,150,150
348568866,02007,19100157 G01,O,2025-11-06,150,150
348568866,02008,N.J.A.C. 12:100-7.3(A),O,2025-11-06,150,150
348583352,01001,19260850 A,W,2026-04-27,56000,56000
348583352,01002,19260021 B02,S,2026-04-27,7000,7000
348583352,01003,19260028 A,S,2026-04-27,6000,6000
348583352,01004,19260200 A,S,2026-04-27,7000,7000
348583352,02001,19040029 A,O,2026-04-27,1000,1000
348583352,02002,19040029 A,O,2026-04-27,1000,1000
348583352,02003,19040029 A,O,2026-04-27,1000,1000
348583352,02004,19040029 A,O,2026-04-27,1000,1000
348565573,01001,19260020 B02,S,2026-04-22,14895,14895
348565573,01002,19260501 B05,S,2026-04-22,14895,14895
348565102,01001,19100030 A01,S,2025-10-30,3500,3500
348565102,01002,19100145 C03,S,2025-10-30,4900,4900
348565102,01003,19100147 C07 I,S,2025-10-30,4900,4900
348565102,01004,19100176 B,S,2025-10-30,4200,4200
348565102,01005,19100244 A01 II,S,2025-10-30,3500,3500
348565102,01006,19100303 F02,S,2025-10-30,4900,4900
348565102,01007,N.J.A.C. 12:100-7.3(A),S,2025-10-30,4900,4900
348565102,01008,N.J.S.A. 34:6A-33(A),S,2025-10-30,4900,4900
348565102,01009,N.J.S.A. 34:6A-33(A),S,2025-10-30,4900,4900
348559600,01001A,19100027 B02 IX,S,2026-04-07,5958,5958
348559600,01001B,19100140 C20,S,2026-04-07,0,0
348559600,02001,19100027 B01 II,R,2026-04-07,6809,6809
348559600,02002,19100140 C12,R,2026-04-07,11916,11916
348555756,01001,19100022 A01,S,2025-10-24,6300,6300
